abnormality,abnormality_pred,0.500
1,0.9991815239191056,1
0,0.5462262816727161,1
0,0.21073049632832408,0
1,0.992334932088852,1
1,0.9996076822280884,1
1,0.7817348018288612,1
0,0.004278456251995522,0
0,0.028142989380285144,0
1,0.9994682520627975,1
0,0.0050274466229893715,0
0,0.001940457099408377,0
1,0.9974982738494872,1
0,0.001868807269374884,0
0,0.039594136469531804,0
1,0.9982407093048096,1
1,0.8395352214574814,1
1,0.9994886368513108,1
0,0.015398828662000597,0
1,0.9977126866579056,1
1,0.9948334246873856,1
1,0.911391019821167,1
1,0.9864587187767028,1
1,0.9769452512264252,1
1,0.9899613410234452,1
1,0.04669325772556476,0
1,0.9929905831813812,1
0,0.19198311073705554,0
0,0.7538788467645645,1
1,0.999175861477852,1
0,0.00046171173954689953,0
1,0.9997834563255308,1
0,0.014528332540066913,0
1,0.9977278262376784,1
0,0.017630989372264594,0
0,0.08067995961755514,0
0,0.0034916808690468315,0
0,0.0598151960875839,0
0,0.08634545421227813,0
0,0.04032812255900353,0
0,0.048746542539447546,0
