abnormality,abnormality_pred,0.089
1,0.999803650379181,1
0,0.999428904056549,1
0,0.1562400568043813,1
0,0.9461041212081908,1
1,0.9955479264259338,1
1,0.4821887984871864,1
0,0.7570608228445053,1
0,0.804890975356102,1
0,0.998158848285675,1
0,0.8674730479717254,1
1,0.9995369434356688,1
0,0.8046481534838676,1
1,0.9999977588653564,1
0,0.999877393245697,1
0,0.9199861884117126,1
0,0.2529206210747361,1
0,0.5158385813236237,1
0,0.9998393654823304,1
0,0.3675743523985148,1
0,0.9927418112754822,1
0,0.9908726811408995,1
0,0.9985092759132386,1
0,0.929271936416626,1
0,0.9996857523918152,1
0,0.9555063366889952,1
0,0.9934601664543152,1
0,0.8025481911376119,1
0,0.9996966361999512,1
0,0.0688057268038392,0
1,0.9999999761581421,1
0,0.7835644923150541,1
0,0.9995821595191956,1
1,0.9983829617500304,1
1,0.9494429588317872,1
0,0.9398859024047852,1
0,0.6508869811892509,1
1,0.8797921061515808,1
0,0.8983934044837951,1
0,0.16105166212655606,1
1,0.9691491723060608,1
0,0.3393497976474464,1
0,0.9871320366859436,1
0,0.9759910464286804,1
0,0.6807273209095002,1
0,0.8183596864342689,1
0,0.1300528020481579,1
0,0.9885494351387024,1
0,0.45168010145425797,1
0,0.7530478179454804,1
0,0.7543100140988827,1
0,0.9952423453330994,1
0,0.8349035292863846,1
0,0.8382058143615723,1
1,0.9999993562698364,1
0,0.9988312959671021,1
0,0.7570349767804145,1
0,0.3014744617044925,1
1,0.9990583300590516,1
0,0.9677123785018921,1
1,0.9999398946762084,1
0,0.4690638400614262,1
1,0.9999846696853638,1
0,0.8361340403556824,1
0,0.9947948694229126,1
0,0.32407651040703056,1
0,0.9992192268371582,1
1,0.9999981880187988,1
1,0.9271521925926208,1
1,0.9997573494911194,1
1,0.9999935626983644,1
1,0.7711108475923538,1
0,0.16291751451790332,1
0,0.9979260802268982,1
0,0.03453319749678485,0
1,0.8181465744972231,1
0,0.5770567004568875,1
0,0.9957295417785644,1
0,0.09134317002026364,1
1,0.9992879033088684,1
1,0.9999476313591004,1
0,0.024905558553291483,0
1,0.9341096520423888,1
0,0.9902424693107604,1
0,0.19699023198336368,1
1,0.9999940156936644,1
0,0.9392975807189942,1
0,0.9590710759162904,1
0,0.13848369233310226,1
0,0.06098158322274685,0
1,0.9999159693717956,1
0,0.9981709837913512,1
1,0.9996845960617066,1
1,0.9717870593070984,1
0,0.9988376021385192,1
0,0.9972265481948852,1
0,0.8831933677196503,1
0,0.14711367567069827,1
0,0.9992465615272522,1
0,0.9957450270652772,1
0,0.9033497810363772,1
0,0.2000172719359398,1
0,0.9996092915534972,1
1,0.9997011780738828,1
1,0.9999870777130128,1
1,0.9999997138977048,1
0,0.9691630840301514,1
0,0.9914865255355836,1
0,0.8631475090980529,1
1,0.9258256077766418,1
0,0.7548879157751799,1
1,0.9922273993492128,1
0,0.6065883010625839,1
1,0.9994863033294678,1
1,0.9999554038047792,1
0,0.9976230025291444,1
0,0.9790881156921388,1
1,0.9995890378952026,1
0,0.9998810052871704,1
0,0.31068030297756194,1
1,0.9999913454055788,1
0,0.9976114869117736,1
0,0.8569969773292542,1
1,0.9999542593955992,1
1,0.9887361168861388,1
1,0.8120301604270935,1
0,0.9311663627624512,1
0,0.7846685588359833,1
0,0.9844760060310364,1
0,0.8904321074485779,1
0,0.036568489531055084,0
0,0.973302161693573,1
0,0.9999987602233886,1
0,0.8790479183197022,1
1,0.9838809967041016,1
0,0.008337740473507438,0
0,0.002649920142721385,0
0,0.9981073856353759,1
1,0.99839369058609,1
0,0.992586874961853,1
0,0.7212263964116573,1
0,0.1121436252258718,1
1,0.99910569190979,1
0,0.9938261628150942,1
1,0.9165289402008056,1
0,0.8506134808063507,1
1,0.9995733022689821,1
0,0.8953340768814086,1
0,0.2769508123397827,1
0,0.9700435161590576,1
0,0.9565159201622008,1
1,0.9999815940856932,1
0,0.7547021951526404,1
0,0.9958948731422425,1
0,0.9850136518478394,1
0,0.4872588446363807,1
1,0.999974274635315,1
0,0.1132071718107909,1
1,0.9990691900253296,1
0,0.9703784346580504,1
1,0.9999935626983644,1
0,0.997821843624115,1
0,0.8114651724696159,1
0,0.8258155018091202,1
0,0.44611035045236347,1
0,0.9991371989250184,1
0,0.20162355471402407,1
1,0.8145108804106712,1
0,0.7550811976194381,1
0,0.9648717164993286,1
1,0.9999954223632812,1
0,0.9994179248809816,1
0,0.9560223698616028,1
0,0.999553382396698,1
1,0.9989572286605836,1
0,0.9976358413696288,1
0,0.3164391261525452,1
0,0.975960659980774,1
0,0.9958581566810608,1
0,0.6909444943070412,1
0,0.9727548360824584,1
0,0.7875830054283142,1
0,0.0005238180092419498,0
1,0.99995139837265,1
0,0.9963998198509216,1
0,0.9893250107765198,1
0,0.40783644616603854,1
0,0.9395175218582154,1
0,0.8296531915664673,1
0,0.9305958747863772,1
1,0.9928139209747314,1
1,0.959672462940216,1
0,0.0020045319019118325,0
1,0.9987672686576844,1
0,0.0013848078423507105,0
0,0.9113146662712096,1
0,0.8730412781238556,1
0,0.461285014078021,1
0,0.9765318632125854,1
0,0.9433788776397704,1
0,0.32605636268854143,1
